pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
CH,2025/9/24,80.4,2.17,6.32,"Snell, Blake",677942,605483,strikeout,called_strike,,,,,7,Blaze Alexander called out on strikes.,R,R,L,AZ,LAD,S,2,,1,2,2025,0.97,0.83,-0.6,2.08,,,,2,6,Bot,,,,,,,-8.104270723,-116.8690707,-4.38659956,10.352845398558886,20.22025250506578,-23.89425922,3.33,1.62,,,,81.9,1474,7.1,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.36,,0,0,1,0,0,,48,5,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,132,-0.014,-0.183,,,,0.183,,-2,-2,0.19,0.19,32,26,33,26,3,2,,,,,2.68,0.97,-0.97,,,,,,
CU,2025/9/24,78.6,1.75,6.48,"Snell, Blake",677942,605483,,foul,,,,,7,Blaze Alexander called out on strikes.,R,R,L,AZ,LAD,S,,,1,2,2025,-0.77,-0.55,-0.42,1.79,,,,2,6,Bot,,,,,,,-3.337973962,-114.5066523,-2.319956204,-6.10595687,21.85006092340819,-36.7567585,3.33,1.62,,,,79.6,2467,7,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.48,,,,,,,,48,4,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,316,0,0,75.1,8.1,,0,,-2,-2,0.19,0.19,32,26,33,26,3,2,,,,,4.24,-0.77,0.77,,19.643488405079392,-19.09983114,39.858944377373454,32.694986837291026,34.40446645555299
CU,2025/9/24,81.1,1.83,6.42,"Snell, Blake",677942,605483,,ball,,,,,13,Blaze Alexander called out on strikes.,R,R,L,AZ,LAD,B,,,0,2,2025,-1.07,-0.44,-1.46,-0.89,,,,2,6,Bot,,,,,,,-5.343249456,-117.7937112,-8.863018063,-8.822400395,24.111144422662207,-34.67367268,3.33,1.62,,,,81.6,2446,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.59,,,,,,,,48,3,Curveball,1,3,1,3,3,1,1,3,Standard,Standard,329,0,0.022,,,,-0.022,,-2,-2,0.19,0.19,32,26,33,26,3,2,,,,,3.94,-1.07,1.07,,,,,,
SL,2025/9/24,88.4,1.89,6.48,"Snell, Blake",677942,605483,,foul,,,,,13,Blaze Alexander called out on strikes.,R,R,L,AZ,LAD,S,,,0,1,2025,-0.31,0.94,-1.22,1.37,,,,2,6,Bot,,,,,,,-6.996422989,-128.5009906,-8.468640866,-2.189195736,24.221568745658207,-20.20410665,3.33,1.62,5,102.1,-14,89.6,2326,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.62,,,,,,,,48,2,Slider,1,3,1,3,3,1,1,3,Standard,Standard,170,0,-0.057,81.5,8.3,,0.057,102.1,-2,-2,0.19,0.19,32,26,33,26,3,2,,,,,1.96,-0.31,0.31,,26.494295429375153,-19.25254961,53.32747071366655,24.720259523511146,33.22655120647963
CH,2025/9/24,87,2.15,6.37,"Snell, Blake",677942,605483,,foul,,,,,8,Blaze Alexander called out on strikes.,R,R,L,AZ,LAD,S,,,0,0,2025,1.18,0.48,-0.15,1.57,,,,2,6,Bot,,,,,,,-8.02752381,-126.302734,-6.347699589,14.319710106931208,25.97593842386562,-25.92056546,3.33,1.62,3,66.6,-26,87.8,1573,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.59,,,,,,,,48,1,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,129,0,-0.044,76.9,8.2,,0.044,88,-2,-2,0.19,0.19,32,26,33,26,3,2,,,,,2.55,1.18,-1.18,,21.460881458744343,-14.61739657,42.361152123618716,38.002791208903595,34.96358083623106
CH,2025/9/24,86.8,2.14,6.31,"Snell, Blake",672515,605483,grounded_into_double_play,hit_into_play,,,,,13,"Gabriel Moreno grounds into a double play, second baseman Miguel Rojas to first baseman Freddie Freeman. Corbin Carroll out at 2nd. Gabriel Moreno out at 1st.",R,R,L,AZ,LAD,X,4,ground_ball,1,2,2025,1.2,0.87,-0.19,1.35,,,682998,0,6,Bot,131.24,151.01,,,,,-8.136089445,-126.0199944,-7.532011211,14.444157359252154,25.25295469634684,-21.54338887,3.32,1.52,12,70.3,-6,87.9,1893,7.1,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.43,0.103,0.095,0,1,0,0,2,47,5,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,132,-0.117,-0.261,72.9,8.2,0.127,0.261,88,-2,-2,0.307,0.307,32,25,33,25,3,2,,,,,2.17,1.2,-1.2,,26.970771117891715,-24.52419794,40.38894040311403,31.733081642483246,52.93026463465823
CH,2025/9/24,86.2,2.02,6.38,"Snell, Blake",672515,605483,,foul,,,,,14,"Gabriel Moreno grounds into a double play, second baseman Miguel Rojas to first baseman Freddie Freeman. Corbin Carroll out at 2nd. Gabriel Moreno out at 1st.",R,R,L,AZ,LAD,S,,,0,2,2025,1.22,0.69,1.26,1.2,,,682998,0,6,Bot,,,,,,,-4.340211244,-125.2722496,-7.512994947,13.704525080311114,25.19073939571818,-23.60984712,3.32,1.52,0,20.5,-77,87,1616,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.64,,,,,,,,47,3,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,141,0,0,66.9,7.6,,0,88,-2,-2,0.307,0.307,32,25,33,25,3,2,,,,,2.39,1.22,-1.22,,11.375595999977472,14.29567659553114,33.70590800339258,49.26896677350008,29.219612299529974
FF,2025/9/24,93.3,2.07,6.46,"Snell, Blake",672515,605483,,called_strike,,,,,8,"Gabriel Moreno grounds into a double play, second baseman Miguel Rojas to first baseman Freddie Freeman. Corbin Carroll out at 2nd. Gabriel Moreno out at 1st.",R,R,L,AZ,LAD,S,,,0,1,2025,0.54,1.64,0.1,1.59,,,682998,0,6,Bot,,,,,,,-6.303045292,-135.4897034,-10.45651836,8.007035269520546,29.069067669988307,-9.864723493,3.32,1.52,,,,94.2,2349,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.62,,,,,,,,47,2,4-Seam Fastball,1,3,1,3,3,1,1,3,Standard,Standard,153,0,-0.054,,,,0.054,,-2,-2,0.307,0.307,32,25,33,25,3,2,,,,,0.99,0.54,-0.54,,,,,,
CH,2025/9/24,84.9,2.1,6.45,"Snell, Blake",672515,605483,,called_strike,,,,,14,"Gabriel Moreno grounds into a double play, second baseman Miguel Rojas to first baseman Freddie Freeman. Corbin Carroll out at 2nd. Gabriel Moreno out at 1st.",R,R,L,AZ,LAD,S,,,0,0,2025,1.06,0.65,0.83,2.13,,,682998,0,6,Bot,,,,,,,-5.139036968,-123.5559811,-5.138353359,11.894121375529645,24.32324233672106,-24.69004296,3.32,1.52,,,,85.7,1613,6.8,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.71,,,,,,,,47,1,Changeup,1,3,1,3,3,1,1,3,Standard,Standard,129,0,-0.043,,,,0.043,,-2,-2,0.307,0.307,32,25,33,25,3,2,,,,,2.51,1.06,-1.06,,,,,,
SL,2025/9/24,88.4,1.88,6.56,"Snell, Blake",682998,605483,single,hit_into_play,,,,,8,Corbin Carroll singles on a ground ball to pitcher Blake Snell.,R,L,L,AZ,LAD,X,1,ground_ball,1,0,2025,-0.02,0.79,-0.24,1.94,,,,0,6,Bot,144.43,185.49,,,,,-5.202207392,-128.6009843,-6.884187256,0.9087412885169368,26.680210968373636,-22.17482014,3.22,1.54,1,66,-66,89.3,2321,6.9,776193,666163,518692,500743,571970,605141,681624,669242,606192,53.63,0.229,0.261,0.9,1,1,0,2,46,2,Slider,1,3,1,3,3,1,1,3,Standard,Standard,168,0.059,0.4,78.6,7.9,0.229,-0.4,88,-2,-2,0.248,0.248,32,24,33,25,3,2,,,,,2.13,-0.02,-0.02,,18.29942342541225,-10.07911902,25.045571890216017,43.15990076647204,47.026164389472164
